name,wins,losses,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,lightweight,welterweight,middleweight,light-heavyweight,wins_to_losses_ratio
Ken Kaneko,0,3,0.9473684210526316,0.9583989501312336,0.8944944598337952,Orthodox,0.0,0.0,0.94,42.0,0.0,0.0,0.0,3.5,0,1,0,0,0.0
Rolando Delgado,11,6,0.986842105263158,0.9227034120734908,0.9625000000000001,Orthodox,1.56,40.0,1.83,62.0,1.17,22.0,0.0,3.5,0,1,0,0,1.8333333333333333
Kit Cope,6,7,0.9350649350649349,0.9289242259968677,0.9077441077441077,Orthodox,1.18,52.0,2.12,35.0,0.0,0.0,50.0,3.5,0,0,1,0,0.8571428571428571
Chris Sanford,5,1,0.9102564102564102,0.9023550919453704,0.9077178278330714,Orthodox,0.23,50.0,3.22,17.0,0.0,0.0,0.0,3.5,0,0,0,1,5.0
Junie Browning,5,6,0.9078947368421052,0.9227034120734908,0.8944944598337952,Orthodox,3.76,48.0,1.76,66.0,3.53,66.0,0.0,3.5,0,1,0,0,0.8333333333333334
Preston Parsons,10,4,0.922077922077922,0.9289242259968677,0.8765432098765432,Orthodox,4.14,56.0,3.76,49.0,3.11,33.0,100.0,3.5,0,0,1,0,2.5
Zhang Tiequan,15,4,0.8947368421052632,0.9227034120734908,0.8625,Orthodox,1.23,36.0,2.14,51.0,1.95,58.0,75.0,3.4,0,1,0,0,3.75
Shannon Gugerty,15,7,0.9210526315789475,0.9227034120734908,0.8875000000000001,Orthodox,1.25,39.0,1.88,58.0,2.13,27.0,50.0,3.4,0,1,0,0,2.142857142857143
Allen Berube,4,3,0.8947368421052632,0.9227034120734908,0.8944944598337952,Orthodox,0.92,80.0,0.92,33.0,6.87,100.0,0.0,3.4,0,1,0,0,1.3333333333333333
Tim Credeur,12,4,0.9615384615384616,0.9023550919453704,0.9036144578313253,Orthodox,3.59,30.0,3.13,57.0,0.41,100.0,50.0,3.3,0,0,0,1,3.0
Daisuke Sugie,10,8,0.8684210526315789,0.9523622047244094,0.8944944598337952,Orthodox,0.0,0.0,0.22,80.0,3.27,50.0,0.0,3.3,0,1,0,0,1.25
Edwin DeWees,38,17,0.9358974358974358,0.9023550919453704,0.9077178278330714,Orthodox,1.53,33.0,6.19,39.0,2.18,66.0,0.0,3.3,0,0,0,1,2.235294117647059
Ricardo Romero,11,3,0.923076923076923,1.0,0.9156626506024096,Orthodox,2.17,55.0,4.77,46.0,1.63,10.0,100.0,3.3,0,0,0,1,3.6666666666666665
Rob Broughton,16,7,0.8314606741573034,0.3441463624130329,0.8809523809523809,Orthodox,2.83,60.0,2.54,51.0,0.0,0.0,26.0,3.2,0,0,0,0,2.2857142857142856
Ryuichi Murata,8,3,0.8831168831168831,1.0,0.9077441077441077,Orthodox,0.84,36.0,1.89,50.0,4.74,50.0,100.0,3.2,0,0,1,0,2.6666666666666665
Roman Zentsov,18,12,0.8202247191011235,0.29870873536232717,0.896911663216011,Orthodox,1.18,36.0,0.53,70.0,1.6,100.0,33.0,3.2,0,0,0,0,1.5
Jesse Taylor,31,15,0.9350649350649349,0.9289242259968677,0.9012345679012345,Orthodox,1.94,65.0,0.55,38.0,7.28,50.0,100.0,3.1,0,0,1,0,2.066666666666667
Alexandre Dantas,0,3,0.8314606741573034,0.30907320983766146,0.896911663216011,Orthodox,0.21,25.0,1.87,60.0,0.0,0.0,0.0,3.1,0,0,0,0,0.0
Kevin Jousset,9,2,0.961038961038961,0.9289242259968677,0.9259259259259259,Orthodox,6.02,50.0,8.1,33.0,3.11,100.0,0.0,3.1,0,0,1,0,4.5
Eric Lawson,9,5,0.923076923076923,0.9023550919453704,0.9077178278330714,Orthodox,1.58,57.0,1.97,44.0,8.88,42.0,0.0,3.0,0,0,0,1,1.8
Sidney Outlaw,8,4,0.8831168831168831,0.9289242259968677,0.9135802469135802,Orthodox,0.13,33.0,0.8,71.0,3.0,75.0,0.0,3.0,0,0,1,0,2.0
Maiquel Falcao,37,10,0.9102564102564102,0.9023550919453704,0.9077178278330714,Orthodox,1.67,55.0,0.53,86.0,1.0,100.0,71.0,3.0,0,0,0,1,3.7
